task,suite,query,failure,samples,acceleration_path_spearman
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,False,349,0.7138241562804353
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,True,51,0.6478733031674208
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,False,349,0.5758101260462687
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,True,51,0.5156561085972851
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,False,349,0.6851056502039606
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,10,True,51,0.6564705882352941
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,False,349,0.7833059974310838
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,11,True,51,0.684343891402715
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,False,349,0.7981596962468417
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,12,True,51,0.7788235294117647
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,False,349,0.7907041935438338
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,13,True,51,0.7632579185520362
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,False,349,0.7769675497903933
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,14,True,51,0.7829864253393664
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,False,349,0.777799201095318
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,15,True,51,0.8815384615384615
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,False,349,0.8276528293364573
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,16,True,51,0.8971040723981899
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,False,328,0.915258168225418
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,17,True,51,0.8828959276018099
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,False,184,0.8622989347151856
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,18,True,51,0.9131221719457013
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,False,48,0.8575770733825445
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,19,True,51,0.8990045248868778
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,False,5,0.8999999999999998
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,20,True,51,0.8792760180995474
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,21,True,51,0.8826244343891402
