calibration,score_kind,method,suite,task,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,v82_auc,queries,window
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.6115324830983014,0.6115324830983014,0.6194683221903853,0.0,-0.007935839092083804,0.553748337921606,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,0.9467104579309084,0.9467104579309084,0.9522700280812457,0.0,-0.00555957015033733,0.6060610284378126,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_bowl_on_the_plate,0.7064814814814815,0.7064814814814815,0.7166666666666667,0.0,-0.010185185185185186,0.4648148148148148,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_bowl_on_the_stove,0.6279178191266448,0.6279178191266448,0.6250488922414997,0.0,0.0028689268851451177,0.4660478305813986,2,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,0.7468329695611138,0.7468329695611138,0.7500553032090609,0.0,-0.003222333647947162,0.6565523242095328,2,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,0.7273970540403893,0.7273970540403893,0.7225049271077877,0.0,0.004892126932601659,0.5160888183636205,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,0.14212451903595932,0.14212451903595932,0.12469440529005608,0.0,0.01743011374590322,0.037018817579800876,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0.8485064759027812,0.8485064759027812,0.8540556689737588,0.0,-0.005549193070977676,0.6691397367591163,3,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,0.5213594276094277,0.5213594276094277,0.5178872053872053,0.0,0.003472222222222196,0.5980639730639731,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0.629281537176274,0.629281537176274,0.6336675020885547,0.0,-0.004385964912280706,0.38512949039264827,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0.883876357560568,0.883876357560568,0.8842940685045949,0.0,-0.00041771094402674275,0.7944862155388471,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.5084820518276195,0.5084820518276195,0.5094949333758877,0.0,-0.0010128815482681186,0.5472663280051774,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0.9064564564564564,0.9064564564564564,0.9056606606606606,0.0,0.0007957957957957876,0.9493843843843844,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0.8204059829059829,0.8204059829059829,0.814465811965812,0.0,0.0059401709401709175,0.9010256410256411,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0.602746212121212,0.602746212121212,0.6039036195286195,0.0,-0.0011574074074074219,0.48316498316498313,6,q8_13
episode,calibrated_rank,ac_recalibrated,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.4560307017543859,0.4560307017543859,0.459780701754386,0.0,-0.0037500000000000033,0.4600438596491228,6,q8_13
