fold,suite,seed,method,global_row,task,init_state_id,noise_seed,episode,length,query,score,norm,control_progress,threshold_group,threshold_episode,dominant_dimension,mobility_norm_fraction,successful_repeats,rank,sets_group_threshold
libero_goal_20260907,libero_goal,20260907,euclidean,49,libero_goal/open_the_middle_drawer_of_the_cabinet,6,1001,49,13,12,1.1607011556625366,1.8758479452837846,0.9523809523809523,1.8795933723449707,1.4257900714874268,5,0.8303088900370129,8,48,False
libero_goal_20260907,libero_goal,20260907,euclidean,59,libero_goal/open_the_middle_drawer_of_the_cabinet,7,1003,59,12,11,1.0800719261169434,1.89056841735119,0.9734513274336283,1.8795933723449707,1.4257900714874268,8,0.43014752415227264,8,39,False
libero_goal_20260907,libero_goal,20260907,euclidean,185,libero_goal/open_the_middle_drawer_of_the_cabinet,23,1001,185,13,12,1.3931410312652588,2.5238201854900755,0.975609756097561,1.8795933723449707,1.4257900714874268,9,0.33666699061460137,8,60,False
libero_goal_20260907,libero_goal,20260907,euclidean,198,libero_goal/open_the_middle_drawer_of_the_cabinet,24,1006,198,13,10,0.9421882033348083,3.6324497533674576,0.8,1.8795933723449707,1.4257900714874268,8,0.6502435470657122,8,24,False
libero_goal_20260907,libero_goal,20260907,euclidean,228,libero_goal/open_the_middle_drawer_of_the_cabinet,28,1004,228,13,12,1.080399513244629,2.2365115213857267,0.9523809523809523,1.8795933723449707,1.4257900714874268,8,0.46607197267034756,8,40,False
libero_goal_20260907,libero_goal,20260907,euclidean,274,libero_goal/open_the_middle_drawer_of_the_cabinet,34,1002,274,12,11,1.0327290296554565,1.8382062850210914,0.9565217391304348,1.8795933723449707,1.4257900714874268,5,0.9102139917436506,8,33,False
libero_goal_20260907,libero_goal,20260907,euclidean,355,libero_goal/open_the_middle_drawer_of_the_cabinet,44,1003,355,13,12,1.174333930015564,1.572877379062011,0.9448818897637795,1.8795933723449707,1.4257900714874268,4,0.7179668839700402,8,49,False
libero_goal_20260907,libero_goal,20260907,euclidean,364,libero_goal/open_the_middle_drawer_of_the_cabinet,45,1004,364,13,12,1.6150647401809692,3.4588532003805414,0.96,1.8795933723449707,1.4257900714874268,8,0.6544975969872456,8,64,False
libero_goal_20260907,libero_goal,20260907,euclidean,370,libero_goal/open_the_middle_drawer_of_the_cabinet,46,1002,370,13,11,1.1149287223815918,3.8042933776456938,0.88,1.8795933723449707,1.4257900714874268,4,0.8379626870896357,8,41,False
libero_goal_20260907,libero_goal,20260907,euclidean,386,libero_goal/open_the_middle_drawer_of_the_cabinet,48,1002,386,12,11,0.9215542674064636,1.8131236302611946,0.9243697478991597,1.8795933723449707,1.4257900714874268,8,0.5184090346950359,8,19,False
