corpus,episode_id,queries,score_max,raw_reject_queries,alarm_queries,any_raw_reject,formal_alarm,success,failure_family,physical_labels,label_loop_or_cycling,label_stagnation,label_goal_contact_near_miss
A,100000000,52,1.0941414769163245,"[12,51]",[],True,False,False,loop_or_cycling,loop_or_cycling;stagnation,True,True,False
A,100000001,52,1.1755707272335072,"[11,12,20,30,32,50,51]","[12,51]",True,True,False,loop_or_cycling,loop_or_cycling,True,False,False
A,100000002,52,1.118261113065139,"[19,21,28,29,43,44,45,46,51]","[29,44,45,46]",True,True,False,drop_or_regrasp,drop_or_regrasp;loop_or_cycling,True,False,False
A,100000003,40,1.1821782720860474,[11],[],True,False,True,success,success,False,False,False
A,100000004,45,1.2290029369253428,"[13,14]",[14],True,True,True,success,success,False,False,False
A,100000005,52,1.0688946493053422,"[11,34]",[],True,False,False,single_subtask_omission,single_subtask_omission,False,False,False
A,100000006,52,1.1208973603799652,[31],[],True,False,False,single_subtask_omission,single_subtask_omission,False,False,False
A,100000007,40,1.112225458578046,[12],[],True,False,True,success,success,False,False,False
A,100000008,43,1.024339766707984,[],[],False,False,True,success,success,False,False,False
A,100000009,52,1.1050262556483825,"[12,13,33,34]","[13,34]",True,True,False,goal_contact_near_miss,goal_contact_near_miss,False,False,True
A,100000010,46,1.1990523268319428,"[11,12]",[12],True,True,True,success,success,False,False,False
A,100000011,52,1.3062978838498425,"[31,36,40,45,49,50,51]","[50,51]",True,True,False,single_subtask_omission,single_subtask_omission;stagnation,False,True,False
A,100000012,45,1.0877973801273952,[12],[],True,False,True,success,success,False,False,False
A,100000013,42,1.0431113159542567,[],[],False,False,True,success,success,False,False,False
A,100000014,52,1.0833281755620725,"[37,48,49]",[49],True,True,False,single_subtask_omission,single_subtask_omission,False,False,False
A,100000015,52,1.0885231657995422,"[10,11,39]",[11],True,True,False,loop_or_cycling,loop_or_cycling,True,False,False
A,100000100,41,1.0421743375823507,[],[],False,False,True,success,success,False,False,False
A,100000101,45,1.1073146155186024,"[3,10,11]",[11],True,True,True,success,success,False,False,False
A,100000102,51,1.0777407249013353,"[11,13,19]",[],True,False,False,loop_or_cycling,loop_or_cycling;stagnation,True,True,False
