order,job_id,suite,task_id,episode_index,init_state_id,seed,flow_noise_seed,state,outcome,is_completed,is_succeeded,is_task_failed,is_infra_failed,is_pending,is_running,attempt_count,episode_status,success,action_steps,inference_calls,duration_seconds,artifact_dir,video_path,video_retained,error_type,error
0,task00-episode000-init000-seed7,goal,0,0,0,7,42,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,26.005529694259167,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260801T171201Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode000-init000-seed7/episode-libero-goal-task00-seed7-20260801T171201Z/episode.mp4,False,,
1,task00-episode001-init001-seed7,goal,0,1,1,7,43,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.287710582837462,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260801T171227Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode001-init001-seed7/episode-libero-goal-task00-seed7-20260801T171227Z/episode.mp4,False,,
2,task00-episode002-init002-seed7,goal,0,2,2,7,44,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.371468771249056,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260801T171251Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode002-init002-seed7/episode-libero-goal-task00-seed7-20260801T171251Z/episode.mp4,False,,
3,task00-episode003-init003-seed7,goal,0,3,3,7,45,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.238397555425763,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260801T171316Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode003-init003-seed7/episode-libero-goal-task00-seed7-20260801T171316Z/episode.mp4,False,,
4,task00-episode004-init004-seed7,goal,0,4,4,7,46,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.341784911230206,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260801T171340Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task00-episode004-init004-seed7/episode-libero-goal-task00-seed7-20260801T171340Z/episode.mp4,False,,
5,task09-episode000-init000-seed7,goal,9,0,0,7,492,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.836415799334645,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260801T171404Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode000-init000-seed7/episode-libero-goal-task09-seed7-20260801T171404Z/episode.mp4,False,,
6,task09-episode001-init001-seed7,goal,9,1,1,7,493,completed,succeeded,1,1,0,0,0,0,1,completed,True,122,13,11.335058892145753,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260801T171429Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode001-init001-seed7/episode-libero-goal-task09-seed7-20260801T171429Z/episode.mp4,False,,
7,task09-episode002-init002-seed7,goal,9,2,2,7,494,completed,task_failed,1,0,1,0,0,0,1,completed,False,300,30,24.81700210645795,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260801T171441Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode002-init002-seed7/episode-libero-goal-task09-seed7-20260801T171441Z/episode.mp4,False,,
8,task09-episode003-init003-seed7,goal,9,3,3,7,495,completed,succeeded,1,1,0,0,0,0,1,completed,True,127,13,11.471204705536366,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260801T171505Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode003-init003-seed7/episode-libero-goal-task09-seed7-20260801T171505Z/episode.mp4,False,,
9,task09-episode004-init004-seed7,goal,9,4,4,7,496,completed,succeeded,1,1,0,0,0,0,1,completed,True,121,13,11.28994957730174,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260801T171517Z,/home/jovyan/work/himoe-paper-ab/rs140-egl/batch-libero-goal-20260801T171201529771Z/episodes/task09-episode004-init004-seed7/episode-libero-goal-task09-seed7-20260801T171517Z/episode.mp4,False,,
